nom;hippodrome;partants;victoires
A. JANNIER;ARGENTAN;1;0
G. FAVRIS;ARGENTAN;2;1
MME A. MARANDEL;ARGENTAN;2;0
J.CH. BEAUFILS;ARGENTAN;2;0
CH. GUERANGER;ARGENTAN;1;0
M. BEAUVAIS;ARGENTAN;3;0
P. BEASSE;ARGENTAN;2;0
TH. GOUJON;ARGENTAN;2;0
MLLE M. DE MEYER;ARGENTAN;5;0
L. CHUPIN;ARGENTAN;9;1
MME ANDREA MAILLARD;ARGENTAN;1;0
TH. BIZOUX;ARGENTAN;1;0
MLLE NOEMIE HARDY;ARGENTAN;2;0
CL. GUILLON;ARGENTAN;1;0
A.G. MAILLARD;ARGENTAN;6;0
ST. MEUNIER;ARGENTAN;3;0
F. PRAT;VINCENNES;2;0
CL. FRECELLE;VINCENNES;3;0
J. VAN RIJN;VINCENNES;9;2
E. DE JESUS;VINCENNES;37;2
CH. CLIN;VINCENNES;1;0
A. LHERETE;VINCENNES;11;1
A. WIELS;VINCENNES;19;3
A. MERIEL;VINCENNES;3;0
J.Y. RICART;VINCENNES;1;0
M. DUJMIC;VINCENNES;5;0
L. BAUDOUIN;VINCENNES;25;3
CH. MARTENS;VINCENNES;36;2
D. CINIER;CAGNES/MER;55;1
NICOLAS GERMAIN LEFEVRE;CAGNES/MER;15;0
J.CH. SOREL;CAGNES/MER;41;4
Y.A. BRIAND;CAGNES/MER;27;1
R. DERIEUX;CAGNES/MER;99;43
F. DESMIGNEUX;CAGNES/MER;1;0
D. BROUWER;CAGNES/MER;49;4
M. GRASSET;CAGNES/MER;37;2
B. CHAUVE-LAFFAY;CAGNES/MER;5;0
A. TOMASELLI;CAGNES/MER;6;0
E. GOUT;CAGNES/MER;8;0
Q. CHAUVE-LAFFAY;CAGNES/MER;4;0
R. LE VEXIER;CAGNES/MER;11;0
K. AXISA;CAGNES/MER;3;0
PH. TERME;CAGNES/MER;3;0
A. SLIMANE;CAGNES/MER;8;1
D. GAUDIN;CAGNES/MER;2;0
L. DE GROOTE;CAGNES/MER;8;1
H. LAKHRISSI;CAGNES/MER;5;0
M.X. CHARLOT;AGEN LA GARENNE;28;3
ET. CLOZIER;AGEN LA GARENNE;23;1
X. DECAUDIN;AGEN LA GARENNE;10;0
V. GONIN;AGEN LA GARENNE;6;0
C. GAZENGEL;AGEN LA GARENNE;27;1
J.M. BREHARD;AGEN LA GARENNE;1;0
L. GOETZ;AGEN LA GARENNE;30;3
P. GERAY;AGEN LA GARENNE;52;3
TH. DUCOS;AGEN LA GARENNE;24;4
F. CLOZIER;AGEN LA GARENNE;40;3
M. CRIADO;AGEN LA GARENNE;63;5
E. SALMON;AGEN LA GARENNE;12;0
R. DEBUE;AGEN LA GARENNE;5;0
E. AUDEBERT;AGEN LA GARENNE;7;0
Q. BOUYNE;AGEN LA GARENNE;4;0
MLLE L. DELAHAYE;AGEN LA GARENNE;2;0
MME I. MATHIAS;AGEN LA GARENNE;2;0
TH. MARTINIERE;AGEN LA GARENNE;7;1
G. TOQUE;AGEN LA GARENNE;2;0
M. SAMSON;AGEN LA GARENNE;1;0
MME CH. GAZENGEL;AGEN LA GARENNE;1;0
MEWENN BOURLIER;AGEN LA GARENNE;2;0
J. PASQUIER;AGEN LA GARENNE;4;0
MME CH. SCHOTTER;AGEN LA GARENNE;2;0
MME L. CHAVATTE;AGEN LA GARENNE;2;0
MME L. GIROUARD;AGEN LA GARENNE;1;0
MLLE A. DUPUIS;AGEN LA GARENNE;7;0
Y. BOUISSON;AGEN LA GARENNE;7;0
MLLE D. POSTHUMUS;AGEN LA GARENNE;9;1
E. PEREKRESTOFF;AGEN LA GARENNE;5;0
D. BOUYNE;AGEN LA GARENNE;14;1
L. SEIGNE;AGEN LA GARENNE;13;2
F. JULIEN;AGEN LA GARENNE;13;4
J.M. FREYSSENGE;AGEN LA GARENNE;9;0
B. CANDELLE-GARDENQ;AGEN LA GARENNE;8;0
J. BOUYNE;AGEN LA GARENNE;9;0
S. CHAVANEL-ALBIRA;AGEN LA GARENNE;2;0
C. VAUTRELLE;AGEN LA GARENNE;1;0
C. LANGLOIS;AGEN LA GARENNE;11;0
L. KONEFAL;AGEN LA GARENNE;4;0
R. BOUDAH;AGEN LA GARENNE;1;0
M. MASSY;AGEN LA GARENNE;4;0
C. BATY;AGEN LA GARENNE;7;4
E. ODIC;AGEN LA GARENNE;4;0
G. BEAUDOUIN;AGEN LA GARENNE;8;0
D. CRESPEL;AGEN LA GARENNE;14;0
MME G. HERITIER;AGEN LA GARENNE;4;0
AXEL LAIGRON;AGEN LA GARENNE;12;0
M. DAOUGABEL;AGEN LA GARENNE;11;0
F. GIARD;AGEN LA GARENNE;2;0
V. CABOS;AGEN LA GARENNE;31;3
TH. PRUDHON;AGEN LA GARENNE;8;1
L. LERENARD;AGEN LA GARENNE;1;1
P.J. CORDEAU;AGEN LA GARENNE;3;0
Q. FLEURY;AGEN LA GARENNE;1;0
D.G. CHAVATTE;AGEN LA GARENNE;5;0
J. PAILLE;AGEN LA GARENNE;12;3
J. ASSELIE;AGEN LA GARENNE;22;0
M. GERGOUIL;AGEN LA GARENNE;21;4
J.M. EMPEYTAZ;AGEN LA GARENNE;3;0
H.C. BAKKER;AGEN LA GARENNE;7;0
G. COCARD;AGEN LA GARENNE;1;0
PASCAL DENIS;AGEN LA GARENNE;2;0
J.PH. TREICH;AGEN LA GARENNE;4;0
A. GENESTE;AGEN LA GARENNE;4;0
Y. LERENARD;AGEN LA GARENNE;1;0
L. LAUDREN;ANGERS;1;0
A.A. CHAVATTE;ANGERS;6;1
J. LEBOUTEILLER;ANGERS;2;0
J.PH. MONCLIN;ANGERS;10;2
CH. DREUX;ANGERS;3;0
F.P. BOSSUET;ANGERS;1;1
A. DABOUIS;ANGERS;7;0
A. GENDROT;ANGERS;4;1
JULIEN RAFFESTIN;ANGERS;4;0
G. MARIN;ANGERS;7;1
P. VENTURA;ANGERS;2;0
G. JOUVE;ANGERS;2;0
G. BLANDIN;ANGERS;1;0
S. HOUYVET;ANGERS;2;0
A. THOMAS;ANGERS;3;0
MLLE O. HERBINIERE;ANGERS;1;0
B. BLACHET;ANGERS;1;0
TH. CONSTANS;ANGERS;2;0
TH. VIAUD;ANGERS;5;0
ANDREA ROUSSEL;ANGERS;3;1
R. LAMY;ANGERS;3;1
RENAUD JULIEN;ANGERS;2;0
L. LABBE;ANGERS;1;0
S. MARMION;ANGERS;5;0
H. MARIE;ANGERS;4;0
P. TIJOU;ANGERS;1;1
PH. MARIE;ANGERS;2;0
CH. CUILLER;ANGERS;1;0
R. BLACHET;ANGERS;1;0
M. LELOUTRE;ANGERS;1;0
EMILIEN DUPONT;ANGERS;2;0
A. TRINQUART;ANGERS;1;0
M. BEAUVAIS;ANGERS;3;0
L. LHOTE;ANGERS;1;0
L. PITON;ANGERS;1;0
MAXENCE LECOQ;ANGERS;1;0
N. PIERQUIN;ANGERS;1;0
E. QUITTET;ANGERS;2;0
ANTOINE BOUTIN;ANGERS;2;0
MLLE AURIANE MEUNIER;ANGERS;1;0
P. BUHIGNE;ANGERS;1;0
J. RAFFESTIN;ANGERS;1;0
P. MONTHULE;ANGERS;1;0
V. FOUCAULT;ANGERS;6;0
J. POUTREL;ANGERS;1;0
F. GENCE;ANGERS;1;0
P. CASTEL;ANGERS;1;0
P.A. DELACOUR;ANGERS;2;0
V. MARQUEZ;ANGERS;2;0
MME D. ODIENNE;ANGERS;1;0
H. SIONNEAU;ANGERS;4;1
M. HERRAULT;ANGERS;3;0
P. BEASSE;ANGERS;2;0
TH. CHALON;ANGERS;2;0
G. SIMON;ANGERS;2;0
CL. THOMAIN;GRAIGNES;22;3
LILIAN BERTIN;GRAIGNES;2;0
L. GABORIT;GRAIGNES;4;0
S. ERNAULT;GRAIGNES;48;9
A. ANDRE;GRAIGNES;37;5
ADRIEN BLANDIN;GRAIGNES;8;0
J. TRAVERS;GRAIGNES;20;0
S. GOUGEON;GRAIGNES;2;0
R. CORBIN;GRAIGNES;2;0
Y. LEBOURGEOIS;GRAIGNES;53;16
R. VILAULT;GRAIGNES;3;2
F. PRIOUL;GRAIGNES;3;1
S. BAUDE;GRAIGNES;29;3
L. JUBLOT;GRAIGNES;2;0
TANGUY DEVOUASSOUX;GRAIGNES;1;0
T. COMPAS;GRAIGNES;1;0
TH. LAMARE;GRAIGNES;1;0
R. BRETON;GRAIGNES;4;1
M. CHARUEL;GRAIGNES;2;0
T. CALO;GRAIGNES;5;0
F. POISSON;GRAIGNES;3;0
