nom;partants;victoires
TH. ROUSSEL;32;0
A. PLARD;33;2
H. LEVEAU;2;0
RAFFAELE CEPPARULO;26;0
L.M. DAVID;177;16
M. LEMERCIER;27;1
S. LEMETAYER;19;1
A. MENAGER;10;2
K. WESKA;6;0
J. KOUBICHE;79;12
A. DUPERCHE;57;4
A. LEDOYEN;9;0
S. GUEN;5;0
Y. CABARET;6;2
BASTIEN JOSEPH;13;0
V. LEBARQUE;133;11
T. GUILLAUME;2;0
P. POLIZZI;12;0
Y. HAGEGE;13;1
J. GUILLEMIN;6;0
S. BANTZE;10;2
F. DARONDEL;13;1
THÉO RADOUX;48;6
L.B. MARTIN;34;1
J. PAILLE;71;5
M. FRUGIER;3;0
MLLE MANON CAMPOUS;5;0
J.M. TEILLET;4;0
AX. LAIGRON;11;0
J. RIVIERE;13;0
H. BEAUMONT;11;0
J. MAZOU;13;0
R. MOURLON;78;12
L. LAMAZIERE;32;6
BASTIEN CLAIRET;39;6
MARTIAL GAUVIN;46;1
D.J. HENRY;13;0
S. JAMARD;8;0
J.D. FRICONNET;5;0
B. CHOURRE;14;0
L. BRECHAT;15;0
CL. FRECELLE;18;2
LOUIS PEJUS;4;1
MLLE J. TRIOMPHE;33;1
B. PALEAU;7;1
G. CAPORGNO;5;0
F. CARPENTIER;22;0
A.P. GIRAUD;36;1
OLIVIER TOUVAIS;23;8
CÉDRIC PARYS;20;1
PH. BEILEARD;9;0
M. MOREAU;14;0
J.M. LE CERF;9;0
D. DAUVERNE;5;0
R. COPPENS;25;1
A. GUYARD;18;1
PH. GENDRY;11;0
R. MEVEL;6;0
LOUIS BEILEARD;11;0
J. CHEVREUX;23;0
D. MARSAULT;13;0
J.E. DAVID;12;0
J.P. PITON;7;0
D. HEON;20;3
CH. BOISNARD;29;1
CH. LIBERGE;7;0
J.M. GODARD;20;1
G. CELIS;21;0
MARCO DE VIVO;4;1
B.G.M. VADER;2;0
R. POJASEK;6;0
R. DESPRES;50;3
S. PELTIER;34;2
R. SEVESTRE;25;1
J.P. DIABAT;19;1
G. PRAT;36;1
C. BEDEL;19;0
Y. SALIOT;25;1
P. BILLON;9;0
C. FERRE;10;0
DIDIER LEPAGE;7;0
CHARLY FOURE;21;0
MLLE A. CHANTRIS;3;0
A. UNTERREINER;5;0
M. RICHOU;13;0
MME L. RIISE;7;1
M. AERTS;10;0
G. HOUEL;80;8
A. TABU;12;1
L. BARASSIN;44;1
B. DE FOLLEVILLE;26;1
F. GHEKIERE;39;9
S. BROUARD;3;0
GIACOMO LICCARDO;1;0
MME G. MASSCHAELE;85;2
M. LEBREC;37;8
F.PH. SOULAT;4;0
ADRIEN BLANDIN;21;2
MME L. HUE;10;1
MME E. LE BELLER;6;0
K. VANDEMOORTELE;14;0
P. PLASSAIS;13;0
G. SUCAET;47;4
JOSEPH MELIN;2;0
A. MENEGHETTI;9;0
J. CERISIER;12;0
MLLE D. ARAMINI;30;1
MLLE ST. LEPETIT;15;1
R. GONCET;10;0
A. TESSANDIER;29;3
J.PH. DUBOIS;85;5
D. HAON;14;1
PHILIP UYTTENDAELE;2;0
MANUEL PISTONE;1;0
CL. MONTE;3;0
NICOLAS DEVIGNE;7;0
J.M. BREHARD;12;0
E. LETOUZE;38;1
L. DELESTRE;9;0
FREDDY MOREAU;5;0
A. WISSOCQ;21;0
CH. HENRY;42;5
X. LIGNEL;3;0
L.E. THEAULT;2;0
CH.A. MALLET;84;11
G. DONIO;9;0
P. HORNOY;7;0
P. CORNIERE;12;2
N. BINET;3;1
C. RIZZO;1;0
F. BARELLI;2;0
L.A. MARTIN;13;3
K. BUSNEL;102;8
F. CHRISTOPHE;9;0
A. LANNOO;40;4
MARIO VAN DOOYEWEERD;17;2
MME CELESTINE CORTY;23;3
OLAF J. SCHRODER;1;0
THOMAS BOS;4;0
HARRI RANTANEN;1;1
J.ET. LE BEC;37;3
MLLE F. MOULIN;14;0
CH. FLIRDEN;41;3
M. MANZONE;4;0
ADRIEN ERNAULT;12;5
TH. ISSAUTIER;10;0
S. ROUSSELLE;49;8
F. DE MEYER;20;0
F. BRIDAULT;10;0
A.H. POST;13;0
B. DELASALLE;5;0
J.PH. GUIBOUT;33;1
P. CIMAROSTI;8;1
D. LIZEE;6;0
G.M. BERNIER;17;0
B. LEFEVRE;22;0
G. COGNE;22;3
J. VINIGER;6;0
G. CASILLO;4;0
MME E. PRIVAT;14;0
TH. BODIN;4;0
B. GROULT;19;0
A. GASSIRARO;8;0
W. BAUDY;28;0
O. CHENE;17;0
T. AGUIAR;15;0
MME JENNIFER VALETTE;12;0
PH. SEILER;7;0
R.F. PERRET;9;0
A. MILLET;13;1
N. MARTINEAU;44;1
F. CORBINEAU;6;1
STÉ. ENT. CHARLES CRIADO;37;0
STÉPHANE BLOT;1;0
P.CH. JEAN;18;0
P.E. HENRIKSSON;1;0
MLLE C. CHASSAGNE;18;0
ERIC VERVONDEL;2;0
M. SMORGON;5;0
KEVIN OSCARSSON;6;1
P. ROMANELLI;1;0
R. PEZZATINI;2;0
A. GUZZINATI;15;2
S. FERCHAUD;13;0
P. TOUVAIS;6;0
J.M. LEGROS;37;4
EMILIEN RAULLINE;12;1
M. CONSTANTIN;19;1
TH. CHALON;11;1
E. MARTINSSON;7;0
M. HAUBER;3;0
L. VERRIERE;32;3
A. KOLGJINI;2;0
G. NOYON;2;0
J.PH. DUCHER;24;4
J.M. GAUDIN;21;0
S. LABOUTIQUE;5;0
LUCKA STAEL;7;1
ALEXIS PRAT;23;2
MME N. VIEL-PIERRE;18;1
S. PERRAGUIN;1;0
MME E. FRINTA;5;0
D. LECROQ;42;4
MME F. BLOT-CARIOT;10;1
D. BEKAERT;37;7
JUAN RIERA SITGES;2;0
PIERRE BRASSARD;9;0
MME V. CREVITS;7;2
G. MUTHULAR;7;0
F. JULIEN;14;2
CH. DUCHIER;18;3
G. SOLIGNAC;3;0
D. FAIVRE;6;0
D.J. ROUSSEAU;6;0
B. SABOURDY;7;0
G. RIVIERE;14;2
A. RIVIERE;4;0
S. CHARRIAUD;5;0
QUENTIN PERDEREAU;22;1
F. DELANOE;19;0
F. LEBLOND-MARO;16;3
DYLAN DULONG;2;0
D. PERDEREAU;1;0
E. GARNIER;22;0
ARNAUD MORIN;11;0
J.CL. VINCENT;6;0
J.PH. DERRIAN;3;0
M. KROUCHI;15;3
A. ADROVER MARTINEZ;1;1
J.M. BERTRAND;4;1
R. BREUX;2;0
MLLE A.M. SOUDAIN;28;2
MLLE M. GIBON;6;0
J. LESNE;10;0
MLLE CH. DELAMARE;23;1
P. HAWAS;5;0
F. LERCIER;18;0
J. NISKANEN;15;1
J. GODART;8;0
H. VAN DEN HENDE;10;1
X. FORGET;2;1
D. MOES;30;7
G. GILLOT;62;11
M. ROTHENGATTER;18;3
E. BOT;10;1
J. VILAULT;37;2
Y. GAUTIER;21;2
G. LAVARDE;9;0
F. LAGADEUC;42;9
J.R. DECLERCQ;30;1
MME SABINE KAGEBRANT;12;3
C.J. DE LEEUW;12;0
C. TRAVERT;9;1
ANDREA BIGLIARDI;1;0
E. FIASCHI;2;0
A. BLOYET;24;0
H. TOUVAIS;16;1
S. DESMARRES;11;0
J. VIVION;1;0
P. CHAUSSEPIED;10;0
T. MARCHAND;3;0
J.M. JARRY;2;0
J.J. DELHAL;8;0
MME M. COLLET;2;0
J. GROIZEAU;20;1
E.M. FOURNIER;34;7
J. ROULLAND;4;0
P. LABROUSSE;1;0
D. BERGER;1;0
J. LANGELIER;8;0
G. CHAMPENOIS;7;0
STÉ. ENT. KÉVIN VANDERSCHELDEN;26;0
MLLE A. BARTHELEMY;1;0
G. LEFEBVRE;18;0
P. SORAIS;5;1
H. HABART;3;0
D. DUTHEIL;6;0
Q.B. VERNEUIL;3;0
B. FONTAINE;14;0
K. AIT OUAKLI;9;0
S. MOLLO;1;0
M. CASTALDO;2;0
CH. GLORIEUS;4;0
P. DANET;25;1
N. D'HAENENS;16;0
G. DEMOULIN;19;0
F. CHARTIER;14;1
MLLE I. KLAPPE;9;0
PH. TERNISIEN;8;0
P. HILLEN;6;0
F. CRIADO;5;0
MME A. RENAUDIN-LELARGE;5;1
J.Y. HUREL;5;0
I.P. BLANCHON;24;0
MLLE O. TOUILLET;14;2
MME CL. DESMONTILS;37;3
S. RAFFEGEAU;3;0
F. RETAUX;23;0
A. TROUVE;4;0
S. BIZEUL;6;3
A. DEMISSY;9;0
R. RUCINSKI;6;0
F. CRUAUD;8;0
FLORIAN PRIOUL;2;0
MLLE C. CHERADAME;10;0
A. DAVID;7;0
B. BELUZE;10;0
PH. JULIEN;12;0
JORIS FILOGRASSO;47;1
PH. JEANNERET;9;0
HARRI MIKAEL RANTANEN;5;0
D. CHEVRIER;7;0
W. VAN DER ZWAAN;10;0
MME I. HUYGENS-DE WITTE;18;0
J.B. LEMOINE;28;0
D. FISCEL;2;0
G. CHAVATTE;4;0
M. BOUCHEZ;7;0
MME AGNES SEVERS;3;0
X. THEVENET;10;1
MLLE LAURIE COPPENOLLE;1;0
H.K. EHLERT;7;2
FRANKY ELIANO;2;0
N. JAULNEAU;12;0
JOHNNY WESTENBRINK;5;0
B. GRONDIN;6;0
F. JEANNEAU;2;0
F. BELLIER;4;0
X. MARY;7;1
P. GUYOT;4;0
ALEXIS POPOT;8;1
F. HEUDIARD;5;0
MLLE ELISE FOSSARD;2;0
J.P. CADEAU;2;0
J.Y. OLIVIER;6;0
R. HEMERY;6;0
JOACHIM CLYNCKE;5;1
D. DELSART;3;0
TH. LONCKE;17;1
I. DIERICKX;9;1
R. KUIPER;26;0
JEAN MARC POELMANS;4;0
DAVID LEFEVRE;11;0
THIBAULT VOLCKAERT;2;0
MME K. BOSSUYT;10;0
BENOÎT GONTIER;1;0
A. FOULON;6;0
Q. CHAMPENOIS;1;0
R. LAMY;5;0
V. HEBERT;13;0
M. BARBINI;6;0
S. GUELPA;11;0
C. PETITDIDIER;3;0
NATHAN BOISRAME;7;0
J.L. HOCDE;8;0
H. BEAUDOUIN;2;0
P.G. CAVEY;10;0
G.Y. POIRIER;3;0
GREGG LUPI;8;0
R. BUFFAVAND;15;0
J.CH. GANDRE;3;0
P. DEMURU;5;0
MME A. GERMAIN;13;0
D. DAVOUST;10;3
B.R. PLAIRE;5;0
CH. NIVARD;8;1
T. BORD;22;1
P.L. ROUSSEAU;12;1
M. VERVA;48;3
FRANCIS GELDHOF;7;0
D. BOUILLON;2;0
B. SCHWARTZ;3;0
C. RAIMBAUD;13;0
LORENZO ZOLLO;7;0
R. CHAUSSIER;16;0
P.Y. BOUVIER;3;0
J. DESHAYES;4;0
F. COPPYN;10;0
ANTOINE TRIHOLLET;39;2
C. JEAN;10;2
P. FRERET;7;0
R. BERNIER;10;0
S. ROBART;8;0
R. FEELDERS;13;1
MARC DE COCK;5;0
G. VAN DE SIJPE;5;0
A. TOUZERY;5;0
M. LEBEY;6;0
N. DELAMARRE;15;4
HEINZ BERGER;5;2
AURÉLIEN DESMARRES;21;3
R. DEVIS;6;0
J. BERGMANN;4;0
P. VAN ACHTER;12;0
G. LOIX;5;0
Y. TEERLINCK;15;0
STÉ. ENT. THÉO BRIAND;28;3
D. THOMAS;10;0
F. FERRERO;2;0
D. PASQUIER;6;0
P. MARTIN;4;0
S. LE CERF;6;0
L. LE TEXIER;4;0
F. TABOURIER;5;0
TH. MOUSSEAU;5;0
R. KERGUERIS;6;0
Y. LE BRIS;6;1
FLORIAN GAUVIN;8;0
LIONEL GIRAUD;3;0
R. BERUJAT;9;0
MME CHRISTEL MOORTGAT;1;0
MLLE V. LAST;3;0
G. LAUREYS;16;0
V. SOYEZ;6;0
K. DE MEY;5;0
P. ROULLEAU;12;1
B. MASCLE;6;0
TH. ALINE;2;0
M. BARRE;11;0
MME PAULINE MALQUET;3;0
D. DUPRE;5;1
