nom;nb_courses;nb_victoires;gains_total;somme_distances;derniere_date
NOLIMIT DES FORGES;3;0;0;8600.0;2026-01-24
NEWTON DE MONGOCHY;12;0;0;30325.0;2026-07-16
NONANT EFBE;5;0;0;13450.0;2026-03-08
NUREMBERG;2;0;0;5525.0;2026-06-26
NAKALOUN;9;1;0;22525.0;2026-06-13
MARNAON VINGUY;7;0;0;19150.0;2026-06-20
MEDMATTHI;2;0;0;5675.0;2026-02-08
MILLIONDOLLAR D'AS;3;0;0;7850.0;2026-02-01
MAGNUM VERGNIER;3;0;0;7900.0;2026-05-30
MEN IN BLUE ANGELE;1;0;0;2875.0;2026-01-08
MANHATTAN PRAIL;3;0;0;8075.0;2026-02-08
MOVING QUICK;7;1;0;19050.0;2026-06-01
METEOR JALLERIE;3;0;0;8725.0;2026-06-22
MORNY DE TROUVILLE;5;2;0;13525.0;2026-07-17
MERCURE DE CRENNES;2;0;0;5675.0;2026-02-06
MALIN DE VITRAY;5;0;0;13625.0;2026-05-01
MISTRAL DE JAUNOUX;5;1;0;13400.0;2026-02-27
LADY MAURE;13;0;0;36700.0;2026-07-08
LOLLIPOP D'UGGATTE;2;0;0;5750.0;2026-01-17
L'INFO DU STADE;1;0;0;2875.0;2026-01-08
LITTLE BAD GIRL;2;0;0;5475.0;2026-04-19
LIZIANA GATINA;3;0;0;8350.0;2026-04-19
LORZA DE MESLAY;2;0;0;5750.0;2026-01-17
LATINA JIVE;3;0;0;7900.0;2026-06-04
LICORNE MAGIQUE;3;0;0;8800.0;2026-05-08
LYSSA DU SKY;6;0;0;17175.0;2026-06-20
LOVE ME D'IDEF;2;0;0;6025.0;2026-02-01
LUEUR DE PLAY;5;0;0;13750.0;2026-05-16
LUTINE DU CEDRE;2;0;0;5375.0;2026-03-29
LADY MYSTIC;4;0;0;10875.0;2026-07-15
LEDA DE VANDEL;2;0;0;5725.0;2026-02-02
LOLITA DE VITRAY;8;1;0;20459.0;2026-07-04
LIVIA DES LANDES;2;0;0;5025.0;2026-04-02
LOLLIPOP WHITE;4;0;0;11550.0;2026-02-15
LADY D'AUBERVILLE;3;0;0;8425.0;2026-02-15
LADY DU RUISSEAU;6;0;0;17000.0;2026-06-13
LITTLE MARY;4;0;0;9775.0;2026-04-19
LASSIE DES SOURCES;5;0;0;13700.0;2026-07-02
LINKA D'ADELE;5;0;0;14850.0;2026-04-12
LHASSA;4;0;0;12300.0;2026-02-01
LOLA DE LA DOUCE;5;1;0;14700.0;2026-06-05
LUEUR DES LANDES;4;0;0;11575.0;2026-06-24
LEGENDE DRY;7;0;0;18750.0;2026-06-24
LANHELEN DU PILET;4;0;0;11825.0;2026-06-13
LA FLECHE;5;0;0;14475.0;2026-05-19
LADIES MOIRE;8;0;0;22300.0;2026-07-02
LADY BECO;3;1;0;8200.0;2026-03-30
LOUISIANE PARIS;7;3;0;18500.0;2026-07-16
KAMELA FLIGNY;4;0;0;11625.0;2026-03-29
KOVE DU CHENE;1;0;0;2875.0;2026-01-08
KOMETE DU RADON;7;0;0;19325.0;2026-06-29
KEMISSORO;3;0;0;8175.0;2026-07-08
KISS ME CARNOIS;1;0;0;2875.0;2026-01-08
KAPRIKA DES LANDES;2;0;0;5600.0;2026-06-20
KIMBILA;7;0;0;19050.0;2026-06-20
KANSAS LUDOIS;1;0;0;2875.0;2026-01-08
KAILASH ARCTIC;4;1;0;10700.0;2026-07-07
KUROS PONT VAUTIER;3;0;0;7675.0;2026-02-10
KID SMILE;5;0;0;13950.0;2026-05-21
KORA DE BLARY;5;0;0;13250.0;2026-06-20
KALINE DJOB;6;0;0;17375.0;2026-03-30
KRAC BOREAL;8;1;0;21625.0;2026-05-25
KARAMEL JOYEUX;2;1;0;6025.0;2026-01-23
KAIROS DU PERCHE;6;0;0;16900.0;2026-07-15
JEAN MADRIK;7;0;0;17800.0;2026-07-08
JISMIE GRIFF;5;1;0;13400.0;2026-07-02
KOPECK DE CHENU;4;2;0;9100.0;2026-04-12
JACKPOT DES BORDES;9;0;0;22175.0;2026-06-18
JAMES MADRIK;10;0;0;24000.0;2026-07-02
JAMIROQUAI;4;0;0;10400.0;2026-02-27
JACK DES MALBERAUX;5;0;0;11725.0;2026-04-30
JUBY DE BAILLY;9;0;0;21250.0;2026-04-27
JADESKA;10;0;0;24350.0;2026-07-08
KOWEIT DE CHENU;6;1;0;15150.0;2026-07-08
JIKAO;8;2;0;20375.0;2026-04-20
KLARCK DE VANDEL;7;3;0;15575.0;2026-07-16
JOG DE JAVIE;7;0;0;14600.0;2026-07-13
KERGOMAR SIBEY;6;0;0;13550.0;2026-04-19
JOKER DE VOUEDE;3;0;0;7400.0;2026-03-12
JOURNEY;3;0;0;7475.0;2026-07-02
NELOMBO BELLO;5;0;0;12600.0;2026-07-11
NIKO DE TIMBOEUF;4;1;0;10200.0;2026-03-27
NEED YOU MESLOIS;8;0;0;20025.0;2026-06-27
NEW YORK D'OYSE;11;0;0;28300.0;2026-07-11
NANTUS D'AVIGNERE;10;0;0;24925.0;2026-07-01
NELSON SWIFT;4;0;0;9175.0;2026-04-11
NEMO DES CARREAUX;4;0;0;10625.0;2026-06-10
MENTEUSE PAN;6;0;0;15075.0;2026-07-15
MILORD MARANDAIS;6;1;0;15150.0;2026-07-13
