nom;partants;victoires
M. SMORGON;5;0
R. PEZZATINI;2;0
A. LEVEILLE;9;0
N. PICARD;15;1
C. BEUREL;8;1
N. BRIDAULT;10;1
L.J. LEGROS;37;4
M. CONSTANTIN;6;0
C. TOUSSAINT;24;1
M. TIJOU;25;1
L.J. PELLEGRINO;3;0
P. PROD'HOMME;1;0
Y. HAGEGE;4;0
MLLE C. THONNEL;11;0
TH. BOICHON;5;0
M. WEISS;8;0
G. NOYON;1;0
J.PH. DUCHER;20;4
J.M. GAUDIN;6;0
M. COLLIN;6;0
A. RAFFIN;23;10
S. GRISEZ;6;3
R. MORRO PONS;7;0
L. STAEL;8;1
A. PRAT;20;2
MME S. DECAUDIN;4;0
S. PERRAGUIN;3;0
M. BEZIER;60;2
F. LE BRUN;10;1
MLLE M. MENDIBOURE;1;0
M.J. BARCELO BISQUERRA;90;8
N. MEREL;3;0
L. FRESNEAU;27;1
J. VANMEERBECK;90;4
G. MONNIER;6;0
M. STEFANI;1;0
B. PITON;31;1
G. LANNOO;28;2
D. HAON;2;0
CH. FEYTE;31;2
J.M. LOURTET;12;0
P. LE MOEL;1;0
G. CRESPEL;1;0
E. DUCHIER;6;0
G. SOLIGNAC;3;0
A. GONCALVES DA SILVA;7;1
MLLE S. OYER;9;1
Q. FAIVRE;6;0
M. PAILLARD;1;0
M. HANQUIER;20;1
F. ROCHETTE;17;1
M. HEURTEBISE;11;0
M. TRIVERIO;4;0
A. RIVIERE;7;0
E. VIDOTTO;5;0
TH. LEBOIS;7;0
P.EDOUARD MARY;37;4
Q. PERDEREAU;14;0
F. DELANOE;20;0
TH. ROUSSELET;4;0
J.CL. HALLAIS;9;0
MME L. DENIS;4;0
P.CH. JEAN;21;0
F. HAREL;3;0
D. DULONG;9;0
G. PORZIO;33;1
E. GARNIER;23;0
S. GOHIER;20;2
MLLE A.S. VALLETTE;3;0
MLLE E. BIZOUX;2;0
A. ROUSSIN;6;0
Y. LE DOUARAN;3;0
MME CH. SAINT DIZIER;2;0
A. VELANY;15;2
M. GRUMETZ;17;0
F. GELU;5;0
L.F. LARUE;14;1
LOUIS FORTIN;7;0
M. LEDUC;14;0
ARNAUD MORIN;12;0
S. ROGER;58;3
J. NEVEUX;1;0
S. LEMETAYER;3;0
S. DESNOS;9;1
W. FORNIGLIA;5;1
Q. FRESNEAU;10;0
J.F. HUGUES;3;0
F. PERRON;5;0
L. HEUZE;8;0
TH. REBUFFE;9;0
