date;race_id;numero;score;resultat;p_marche_final
2026-01-10;20260110-R1C4;3;-3.8074;0;0.03523
2026-01-10;20260110-R1C4;5;-3.84035;0;0.0079
2026-01-10;20260110-R1C4;6;2.70748;0;0.17617
2026-01-10;20260110-R1C4;7;-2.87712;0;0.03677
2026-01-10;20260110-R1C4;8;8.01873;0;0.11275
2026-01-10;20260110-R1C4;9;-5.91231;0;0.01409
2026-01-10;20260110-R1C4;10;-4.8574;0;0.00676
2026-01-10;20260110-R1C4;11;-0.64262;0;0.02819
2026-01-10;20260110-R1C4;12;4.88009;1;0.29159
2026-01-10;20260110-R1C4;13;-2.52581;0;0.02349
2026-01-10;20260110-R1C4;14;-0.79704;0;0.06505
2026-01-10;20260110-R1C5;1;-6.63531;0;0.04225
2026-01-10;20260110-R1C5;2;-6.49081;0;0.00681
2026-01-10;20260110-R1C5;3;-4.19779;0;0.10973
2026-01-10;20260110-R1C5;4;-5.46583;0;0.00626
2026-01-10;20260110-R1C5;5;-1.13426;0;0.04225
2026-01-10;20260110-R1C5;6;1.96456;0;0.0338
2026-01-10;20260110-R1C5;7;-0.73216;1;0.22235
2026-01-10;20260110-R1C5;8;5.1645;0;0.06035
2026-01-10;20260110-R1C5;9;6.66965;0;0.10562
2026-01-10;20260110-R1C5;10;-2.27944;0;0.05281
2026-01-10;20260110-R1C5;11;8.50537;0;0.29136
2026-01-10;20260110-R1C5;12;4.63152;0;0.0264
2026-01-10;20260110-R1C6;1;-5.72507;0;0.00691
